pallet_id,length_cm,width_cm,height_cm,type
2283097,31.5,42,25.5,2
2283097,31.5,42,25.5,2
2283097,21.5,15.8,13.4,2
2283097,21.5,15.8,13.4,2
2283097,21.5,15.8,13.4,2
2283097,21.5,15.8,13.4,2
2283097,21.5,15.8,13.4,2
2283097,45.5,27.5,18,1
2283097,23.2,15.5,10.9,2
2283097,45.5,27.5,25,1
2322082,45.5,27.5,25,1
2322082,45.5,27.5,25,1
2322082,39.5,26.5,34,2
2322082,20.1,12.4,12.6,2
2322082,19.9,12.1,14.8,2
2322082,39.5,26.5,34,2
2322082,45.5,27.5,25,1
2322082,39.5,26.5,34,2
2322082,39.5,26.5,34,2
2322082,39.5,26.5,34,2
2322082,39.5,26.5,34,2
2322082,39.5,26.5,34,2
2322082,39.5,26.5,34,2
2322082,27,37,33,2
2322082,26.5,39,32,2
2322082,26.5,39,32,2
2322082,41.8,31.5,25.9,2
2322082,45.5,27.5,18,1
2322082,20.2,12.2,12.2,2
2322082,42.8,29.7,14.7,2
2322082,15.2,10.4,25.2,2
2322082,26.9,24.4,32.2,2
2322082,26.9,24.4,32.2,2
2322082,19.3,13.8,11.6,2
2322082,26.9,24.4,32.2,2
2322082,27,21,19.5,2
2322082,39.2,23.9,20.5,2
2322082,19.3,13.8,11.6,2
2322082,45.5,27.5,18,1
2322082,40.4,27.2,33.7,2
2322082,19.5,12.3,13.3,2
2322082,23.2,15,11.1,2
2322082,27,37,33,2
2322082,40.4,27.2,33.7,2
2322082,40.4,27.2,33.7,2
2322082,40.4,27.2,33.7,2
2322082,52.8,27.3,15.3,2
2322082,40.4,26.8,33.6,2
2322082,15.9,14.3,18,2
2322082,19.4,13.6,11.7,2
2322082,19.4,13.6,11.7,2
2322082,26.9,24.4,32.2,2
2322082,26.9,24.4,32.2,2
2322082,42.1,31.4,26.1,2
2322082,21.5,15.8,13.4,2
2322082,20.6,15.8,21.3,2
2322082,21.5,15.8,13.4,2
2322082,42.1,31.4,26.1,2
2322082,40.4,26.8,33.6,2
2322082,40,16.8,16.8,2
2322082,21.5,15.8,13.4,2
2322082,20.2,12.1,13.2,2
2322082,42.1,31.4,26.1,2
2322082,21.5,15.8,13.4,2
2322082,42.1,31.4,26.1,2
2322082,21.5,15.8,13.4,2
2322082,39.8,26.4,33.8,2
2322082,39.8,26.4,33.8,2
2322082,42.8,29.7,14.7,2
2322082,26.9,24.4,32.2,2
2322082,27,21,19.5,2
2322082,27,21,19.5,2
2322082,50,30,28,0
2322082,50,30,28,0
2322082,50,30,18,0
2322082,50,30,28,0
2322082,50,30,28,0
2322082,50,30,28,0
2322082,50,30,18,0
2322082,45.5,27.5,18,1
2322082,45.5,27.5,18,1
2322082,45.5,27.5,25,1
2322082,45.5,27.5,25,1
2322082,45.5,27.5,18,1
2322082,45.5,27.5,25,1
2322051,45.5,27.5,25,1
2322051,45.5,27.5,25,1
2322051,45.5,27.5,18,1
2322051,45.5,27.5,18,1
2322051,45.5,27.5,25,1
2322051,45.5,27.5,18,1
2322051,45.5,27.5,25,1
2322051,45.5,27.5,18,1
2322051,45.5,27.5,25,1
2322051,45.5,27.5,18,1
2322051,45.5,27.5,18,1
2322051,50,30,28,0
2322051,50,30,28,0
2322051,50,30,28,0
2322051,50,30,28,0
2322051,45.5,27.5,18,1
2322051,45.5,27.5,18,1
2322051,45.5,27.5,25,1
2322051,45.5,27.5,25,1
2322051,28.6,18.5,16.1,2
2322051,28.6,18.5,16.1,2
2322051,50,30,28,0
2322051,45.5,27.5,18,1
2322051,28.6,18.5,16.1,2
2322051,28.6,18.5,16.1,2
2322051,28.6,18.5,16.1,2
2322051,28.6,18.5,16.1,2
2322051,50,30,28,0
2322051,28.6,18.5,16.1,2
2322051,45.5,27.5,18,1
2322051,21.5,15.8,13.4,2
2322051,30.2,23.2,19.3,2
2322051,21.5,15.8,13.4,2
2322051,30.2,23.2,19.3,2
2322051,30.2,23.2,19.3,2
2322051,30.2,23.2,19.3,2
2322051,30.2,23.2,19.3,2
2322051,42.8,29.7,14.7,2
2322051,42.8,29.7,14.7,2
2322051,39.9,37.9,24.5,2
2322051,39.9,37.9,24.5,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,19.4,13.6,11.7,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,19.4,13.6,11.7,2
2322051,19.4,13.6,11.7,2
2322051,19.4,13.6,11.7,2
2322051,42.8,29.7,14.7,2
2322051,19.3,13.8,11.6,2
2322051,19.3,13.8,11.6,2
2322051,19.3,13.8,11.6,2
2322051,19.3,13.8,11.6,2
2322051,19.3,13.8,11.6,2
2322051,19.3,13.8,11.6,2
2322051,19.3,13.8,11.6,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,33.3,20,24.5,2
2322051,33,13.7,17.7,2
2322051,33,13.7,17.7,2
2322051,33,13.7,17.7,2
2322051,19.3,13.8,11.6,2
2322051,50,30,28,0
2322051,42.1,31.4,26.1,2
2322051,42.1,31.4,26.1,2
2322051,50,30,18,0
2322051,50,30,28,0
2322051,50,30,28,0
2322051,50,30,28,0
2322051,50,30,28,0
2322123,50,30,18,0
2322123,40.4,26.8,33.6,2
2322123,50,30,28,0
2322123,42.1,31.4,26.1,2
2322123,50,30,28,0
2322123,20.2,13.6,21.2,2
2322123,42.1,31.4,26.1,2
2322123,50,30,28,0
2322123,50,30,28,0
2322123,42.1,31.4,26.1,2
2322123,14.5,12.5,23,2
2322123,28.6,18.5,16.1,2
2322123,24.1,15.4,7.1,2
2322123,20.8,14.8,17.9,2
2322123,45.5,27.5,25,1
2322123,21.9,13.9,14,2
2322123,28.6,18.5,16.1,2
2322123,28.6,18.5,16.1,2
2322123,50,30,18,0
2322123,22.2,22,21.9,2
2322123,50,30,28,0
2322123,23,13.7,20.2,2
2322123,50,30,28,0
2322123,24.3,15.8,16.5,2
2322123,50,30,18,0
2322123,22.2,22,21.9,2
2322123,14.5,12.5,23,2
2322123,20.8,15.2,16.3,2
2322123,50,30,28,0
2322123,50,30,28,0
2322123,49.5,38.9,43.3,2
2322123,50,30,28,0
2322123,17.3,14.7,16.1,2
2322123,50,30,28,0
2322123,50,30,28,0
2322123,24.3,15.8,13.4,2
2322123,50,30,28,0
2322123,50,30,18,0
2322123,28.6,18.5,16.1,2
2322123,50,30,28,0
2322123,50,30,28,0
2322123,28.6,18.5,16.1,2
2322123,22.2,22,21.9,2
2322123,45.5,27.5,18,1
2322123,50,30,28,0
2322123,45.5,27.5,25,1
2322123,45.5,27.5,25,1
2322123,45.5,27.5,18,1
2322123,45.5,27.5,18,1
2322123,50,30,28,0
2322123,50,30,18,0
2322123,50,30,28,0
2322123,46.8,30.2,18.6,2
2322123,22.2,22,21.9,2
2322123,38.2,10.7,23.6,2
2322123,21.5,15.8,13.4,2
2322123,38.2,10.7,23.6,2
2322123,21.5,15.8,13.4,2
2322123,21.5,15.8,13.4,2
2322123,21.5,15.8,13.4,2
2322123,21,15,17.8,2
2322123,21.2,15.8,13.8,2
2322123,21.5,15.8,13.4,2
2322123,41.1,31.4,26,2
2322123,21.2,15.8,13.8,2
2322123,41.1,31.4,26,2
2322123,24.2,14.8,7,2
2322123,31.5,42,25.5,2
2322123,50,30,28,0
2322123,24.6,17.8,14.4,2
2322123,19.9,18.2,20.6,2
2322123,45.5,27.5,18,1
2322123,45.5,27.5,25,1
2322123,45.5,27.5,25,1
2322123,45.5,27.5,18,1
2322125,45.5,27.5,18,1
2322125,19.8,17.5,12.9,2
2322125,40.4,27.2,33.7,2
2322125,21.5,15.8,13.4,2
2322125,50,30,28,0
2322125,40.4,27.2,33.7,2
2322125,21.5,15.8,13.4,2
2322125,14.9,12.3,22.8,2
2322125,50,30,28,0
2322125,38.1,28.6,21.2,2
2322125,14.9,12.3,22.8,2
2322125,45.5,27.5,18,1
2322125,21.5,15.8,13.4,2
2322125,45.5,27.5,25,1
2322125,19.3,14.7,13.7,2
2322125,20.6,15.8,21.3,2
2322125,21.5,15.8,13.4,2
2322125,40.4,27.2,33.7,2
2322125,21.5,15.8,13.4,2
2322125,45.5,27.5,18,1
2322125,19.4,13.6,11.7,2
2322125,50,30,28,0
2322125,33.5,24.5,22.4,2
2322125,41.1,31.4,26,2
2322125,45.5,27.5,25,1
2322125,39.8,26.4,33.8,2
2322125,45.5,27.5,18,1
2322125,45.5,27.5,18,1
2322125,45.5,27.5,18,1
2322125,45.5,27.5,18,1
2322125,45.5,27.5,18,1
2322125,45.5,27.5,25,1
2322125,21.5,15.8,13.4,2
2322125,21.8,13.9,14.1,2
